+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 |  5 |       NEW |     READY |
|                 0 |  5 |     READY |   RUNNING |
|               100 |  5 |   RUNNING |     READY |
|               100 |  5 |     READY |   RUNNING |
|               150 |  1 |       NEW |     READY |
|               150 |  5 |   RUNNING |     READY |
|               150 |  1 |     READY |   RUNNING |
|               250 |  1 |   RUNNING |TERMINATED |
|               250 |  5 |     READY |   RUNNING |
|               350 |  5 |   RUNNING |     READY |
|               350 |  5 |     READY |   RUNNING |
|               400 |  5 |   RUNNING |TERMINATED |
|               400 | 10 |     READY |   RUNNING |
|               500 | 10 |   RUNNING |     READY |
|               500 | 10 |     READY |   RUNNING |
|               600 | 10 |   RUNNING |     READY |
|               600 | 10 |     READY |   RUNNING |
|               700 | 10 |   RUNNING |TERMINATED |
+------------------------------------------------+
